userName,score,content
Pengguna Google,1,"gajelas, refund sendiri"
Pengguna Google,5,makasih
Pengguna Google,5,ok
Pengguna Google,5,ok lumayan gampang
Pengguna Google,5,bagus banget
Pengguna Google,5,oke oke
Pengguna Google,5,Belanjar murah dapat diskon gratis ongkir.
Pengguna Google,5,"tadi sempat kasi bintang satu karena kena tipu belanja di Tokopedia,tapi masalah saya sama pihak toko selesai saya kasi bintang lima lagi karena paketnya katanya kelalaian dari pihak toko dan juga sudah minta maaf pada saya,saya juga mohon maaf karena saya pikir paket saya tidak bisa lagi di return,dan juga saya minta maaf ke Tokopedia karena kasi bintang satu secara sepihak tanpa menyelesaikan masalah dengan toko"
Pengguna Google,5,sangat membantu
Pengguna Google,5,ok lah
Pengguna Google,1,"Toko online terburuk. pelayanan sangat lambat. mending si orange dikit. meskipun sama2 buruk. kurir sangat lemot,penanganan seikhlas nya. mending ndak usah pake tokped. daripada kecewa. asli kecewa. gak bakalan pake tokped lagi."
Pengguna Google,1,"pengembalian barang susah, Customer service nya juga gak bisa di hubungi gimana mau bersaing sama shopee"
Pengguna Google,5,Aman ... amanah .... sesuai deskripsi ... moga semakin baik
Pengguna Google,5,👍👍
Pengguna Google,5,"mantap mudh digunakan,menu yang tergolong simple"
Pengguna Google,4,Terimakasih sdh memudahkan berbelanja secara online
Pengguna Google,3,"Setelah gabung t*kt*k malah tambah aneh, notifikasi dari pembeli muncul di aplikasi ini. Ketika diklik, tidak muncul apapun. Harus instal lagi aplikasi seller terpisah. Merepotkan."
Pengguna Google,1,"kembali rating bintang 1 karena penanganan masalah pengembalian dana sangat lama dan berbelit, tokopedia care tidak punya solusi"
Pengguna Google,5,sangat membantu tapi kurir nya ga bisa di aktifkan
Pengguna Google,1,Kok ngelag? tapi gapapa yhaa. semoga bisa diperbaiki 🧚‍♀️❗
Pengguna Google,3,Kurang mudah dipakai
Pengguna Google,5,semoga bermanfaat buat sobat semua yang ditawarkan
Pengguna Google,3,murah bgt tapi tolong ya kalo misalnya kita pesen sesuatu itu harus sama kayak di gambar nya
Pengguna Google,1,"Sekarang jelek, penangan masalah ribet chat cs dijawab komputer terus return barang kena ongkir, tolong diperbaiki biar ga ditinggal pelanggan. nambah masalah lagi tau2 paylater tidak bisa dipake padahal ga pernah telat. payaahh lunasi terus uninstal"
Pengguna Google,4,mantap tokpeddd
Pengguna Google,3,sekarang tokopedia ga bisa split payment ya? kenapa?
Pengguna Google,1,cicilan masih lanjut barangnya rusak
Pengguna Google,5,nice
Pengguna Google,5,favorit
Pengguna Google,1,kenapa sekarang sy tidak bisa login ke tokepedia via no hp ataupun email ? padahal yg sy masukin benar . masa iya no hp tidak bisa digunakan / tidak aktif .. cek di providernya aja masih aktif . ngaco nih tokopedia
Pengguna Google,5,baik
Pengguna Google,4,mantap
Pengguna Google,1,"Jualan di tokopedia bikin BANGKRUT. Potongan Besar, Uang cairnya lama, sampai setengah bulan, modal gak muter. CS nya plangaplongo, GAK BECUS KERJA, Contohnya Seperti yang membalas ulasan ini. pake kata2 template"
Pengguna Google,5,lumayan bagus membantu sy
Pengguna Google,1,"Tokopedia udah beda sama yang dulu. Aplikasinya banyak bug, di halaman checkout terus pencet lihat semua di metode pembayaran tidak muncul apa-apa halamannya kosong. Aplikasi apa ini?"
Pengguna Google,5,"mantap,terbaik"
Pengguna Google,5,bagus
Pengguna Google,4,agak poesing
Pengguna Google,1,sangat mengecewakan hampir 1 tahun ini belanja tapi sudah 4 kali komplain dengan penyelesaian yang tidak memuaskan
Pengguna Google,1,"mau check out dengan pengiriman instan kok disuruh pint pojnt terus, jadi ga bisa pakai instans. padahal dari lama sudah pint point, sudah sering pakai instan juga. tapi sekarang aneh aplikasinya menurun, seperti ga d maintenance. tolong dibenerin dong. chat di customer care juga no respon"
Pengguna Google,4,Kenapa jasa ekspedisinya engga bisa di pilih untuk yang gratis ongkir dan cod.
Pengguna Google,5,Sayangnya selalu harus update
Pengguna Google,1,baru kali pengalaman belanja di Tokopedia saya kena tipu 1 juta seller engga bertanggung jawab komplen cs gada penyelesaian gimana nih Tokopedia saya minta duit saya balik
Pengguna Google,2,"admin yg terhormat,ini kenapa akun tokped saya tiba-tiba keluar ya,padahal saya gk out sama skali.?? kondisi saya ada pesenan sedang di perjalanan,jd gk bisa cek,tolong di perbaiki dong,knp gini"
Pengguna Google,5,belanja online mantap
Pengguna Google,1,"semenjak sudah aktifkan Paylatter harga jadi lebih mahal, agar kalo lihat bayar pakai Paylatter seolah murah...terus kalo kita pakai voucher yang menguntungkan kita di batalkan otomatis oleh sistem, konyol!"
Pengguna Google,2,"APLIKASI INI KURANG BAGUS LEBIH BAGUS SHOPEE LEBIH DETAIL DAN JELAS PAKET LAMA DATANG GA TEPAT WAKTU TOLONG DI PERBAIKIN LAGI, UPDATE LACAK PAKET JUGA LAMA BANGET KURANG UPDATE"
Pengguna Google,5,perbanyak diskon dong biar kita semangat belanja dan byr2 tagihan via tokped🤭🙏
Pengguna Google,1,Kacau tokped toko yang bermasalah karena kirim barang salah malah dana kita yg ketahan karena nungguin konfirmasi toko padahal itu toko tidak kooperatif kecewa saya
Pengguna Google,4,san aja untuk pihat toko pedia cobalah jangan pake kurir rekomdasi SAPX lanya pengiriman ampir 2 minggu paket belum sampai mau komplen kesiapa kontak gudang cabangnya juga tak ada
Pengguna Google,1,Pelayanan untuk barang komplain terlalu ribet. Tidak bisa memberi solusi yang cepat. Merugikan banyak customer akibat seller nakal. Kurang selektif dalam memilih seller.
Pengguna Google,5,ok
Pengguna Google,5,bagus
Pengguna Google,5,ok
Pengguna Google,5,ok
Pengguna Google,1,buset dah gak pernah dapat diskon gue
Pengguna Google,1,"bangkrut aja sih sekalian kaya si merah,ga guna juga belanja di sini"
Pengguna Google,3,aplikasi ini setidaknya membantu tapi sayangnya setiap pengiriman ato kurirnya gk ada no tlp/wa gk seperti aplikasi yg lainnya setiap kurirnya selalu ada no tlp/wa jadi kita tidak susah tanya barang kita di taruh dimana ato di kasih siap..
Pengguna Google,1,Beli produk tembakau di persulit harus di web. Kn di profil ada keterangan umur berapa yg punya akun. Bahkan sampai beli kertas linting aja susah banget
Pengguna Google,1,"Ini aplikasi makin lama makin aneh, eror mulu, koneksi time out,,, lah sinyal gua 4g, ram 8 gb, buka yg lain gampang gampang aja, kalo gini terus mending gua make shoopee, ini makin kesini makin sampah, Saya pembeli, dan uang saya di tahan Tokopedia, transaksi saya 5 juta lebih uang saya di tahan, saya salah pilih toko, Tokopedia ternyata gak nyaring toko toko yg mau nipu, itu uang saya loh, ngapain dia nahan uang 5 juta lebih uang saya itu, sudah komplain ke TokopediaCare tapi ga ada tanggapan,"
Pengguna Google,1,paylaternya tau tau hilang di non aktifkan. kecewa
Pengguna Google,1,aps aneh jelek gak guna. setiap bikin pesanan selalu aja ada masalah seringnya di batalkan tanpa kejelasan. di batalin sistem lah seller lah semau mau lo ajalah udah ya pada slow respon gak jelas pula. gak guna tutup ajalah. unistal. gak perlu kasih bintang. mending aps sebelah
Pengguna Google,1,Semakin lama semakin lemot di hp..upgrade2 terus..kalah jauh dg orange
Pengguna Google,5,mantap banyak diskonnya tokped TOP dahh lebih banyakin free ongkir sama diskonnya yah Tokopedia 🥰
Pengguna Google,1,"bertahun"" belanja di tokped , skrg banyak seller ga tanggung jawab dan manipulatif dan respon cs skrg ga ada solusi makin buruk .. payah.."
Pengguna Google,4,verifikasi pembayaran sangat ce pat
Pengguna Google,5,mantap
Pengguna Google,5,good
Pengguna Google,1,jelek masalah refund selalu lama berbelit2 padahal udh jelas barang tidak sampai ketangan pembeli+ keterangan hilang dijalan. udh pake asuransi yg diganti cm harga produk harusnya ongkir ganti 3x lipat+harga produk. pindah haluan ke toko sebelah aja mendingan👎👎
Pengguna Google,1,"min tolong lah min di cek,ini akun tokopedia saya sudh di updet baru knpa gk bisa buat belanja & lain2.pdahl pakai no sma msih nomer yg dulu buat daftar knpa ggl terus,gk bisa di verifikasi ulang. klo mau di ksih ulasan yg baik2.tolong prbaiki akun tokopedia saya.sya dri tdi verifiksi pakai nomer yg dulu knpa ggl trus pdhl nomer msih aktif.blom gnti nomer baru."
Pengguna Google,5,alright
Pengguna Google,1,"Bintang 1 Saja Pada menu Chat Customer yg menjawab Robot,bukan CS nya langsung,jadi tidak akan ada penyelesaian yg baik pada setiap masalah... awas kalo tidak ada perbaikan,makin jauh ketinggalan sama si orange"
Pengguna Google,2,ada kendala error
Pengguna Google,2,Kenapa gopaylater tidak bisa digunakan pdhl tidak pernah telat byr.
Pengguna Google,1,"Kebanyakan regulasi gak jelas. Kayak pemerintah aja, semua hal dipersulit, CSA lama, Instan 3 Jam gimick doang."
Pengguna Google,1,"sampah banget CS nya bot semua yg bales giliran udah dapet CFS nya malah ga dikasih saran samsek dan dijawabnya kayak bot juga lagi, sampah banget emang produk indo pelayanan nya."
Pengguna Google,1,apk gajelas masa voucher udah di pake tapi ga bisa di check out
Pengguna Google,4,bagus
Pengguna Google,5,ok
Pengguna Google,5,toko pedia Matoh
Pengguna Google,1,"ka tolong ya, buat keamanan aplikasinya lebih ketat lagi dong masa masih ada penipuan aja. udah ngga jaman mending belanja di toko oren ngga pernah says di tipu. aplikasi nya masih kurang bangun..... menurut saya mending belanja di toko oren!!!!! saya ngga akan download Tokopedia lagi!!!"
Pengguna Google,3,mntap
Pengguna Google,4,blum tau masih pengguna baru
Pengguna Google,1,"customer servis isinya boot doang, gak membantu sama sekali."
Pengguna Google,5,mantap tokped saya udah bisa di pakai lagi pakai wifi
Pengguna Google,1,masalah download an
Pengguna Google,2,"sayang paylater nya cuma 2 , ga ada opsi lain. Dulu ada allo paylater skrg ga ada"
Pengguna Google,5,proses mudah dan cepat
Pengguna Google,5,puas
Pengguna Google,5,tiktok paylater kenapa tidak bisa digunakan.padahal saya tidak memiliki tunggakan pembayaran
Pengguna Google,1,untuk estimasi pengiriman sangat dan terlalu lama dibandingin si kuning...
